index,WTA,Location,Tournament,Court,Surface,Winner,WRank,LRank,B365W,PSW,MaxW,AvgW,ATP,year
0.0_38.0_Mallorca Championships,0.0,Mallorca,Mallorca Championships,Outdoor,Grass,Tsitsipas S.,6.0,20.0,1.66,1.74,1.76,1.68,38.0,2022
0.0_39.0_Wimbledon,0.0,London,Wimbledon,Outdoor,Grass,Djokovic N.,3.0,40.0,1.28,1.28,1.33,1.28,39.0,2022
0.0_40.0_Nordea Open,0.0,Bastad,Nordea Open,Outdoor,Clay,Cerundolo F.,39.0,34.0,2.75,3.13,3.13,2.86,40.0,2022
0.0_41.0_Hall of Fame Championships,0.0,Newport,Hall of Fame Championships,Outdoor,Grass,Cressy M.,41.0,42.0,2.2,2.05,2.25,2.1,41.0,2022
0.0_42.0_Suisse Open Gstaad,0.0,Gstaad,Suisse Open Gstaad,Outdoor,Clay,Ruud C.,5.0,15.0,1.8,1.9,1.94,1.83,42.0,2022
0.0_43.0_European Open,0.0,Hamburg,European Open,Outdoor,Clay,Musetti L.,62.0,6.0,5.5,7.37,7.37,5.82,43.0,2022
0.0_44.0_Atlanta Open,0.0,Atlanta,Atlanta Open,Outdoor,Hard,De Minaur A.,30.0,43.0,2.1,2.14,2.21,2.11,44.0,2022
0.0_45.0_Generali Open,0.0,Kitzbuhel,Generali Open,Outdoor,Clay,Bautista Agut R.,20.0,205.0,1.3,1.36,1.4,1.31,45.0,2022
0.0_46.0_Croatia Open,0.0,Umag,Croatia Open,Outdoor,Clay,Sinner J.,10.0,5.0,2.3,2.51,2.51,2.31,46.0,2022
0.0_47.0_Los Cabos Open,0.0,Los Cabos,Los Cabos Open,Outdoor,Hard,Medvedev D.,1.0,12.0,1.33,1.4,1.4,1.34,47.0,2022
0.0_48.0_Citi Open,0.0,Washington,Citi Open,Outdoor,Hard,Kyrgios N.,63.0,96.0,1.16,1.23,1.24,1.19,48.0,2022
0.0_49.0_Canadian Open,0.0,Montreal,Canadian Open,Outdoor,Hard,Carreno Busta P.,23.0,10.0,2.37,2.27,2.46,2.3,49.0,2022
0.0_50.0_Western & Southern Financial Group Masters,0.0,Cincinnati,Western & Southern Financial Group Masters,Outdoor,Hard,Coric B.,152.0,7.0,2.37,2.39,2.52,2.36,50.0,2022
0.0_51.0_Winston-Salem Open at Wake Forest University,0.0,Winston-Salem,Winston-Salem Open at Wake Forest University,Outdoor,Hard,Mannarino A.,65.0,89.0,1.44,1.5,1.55,1.48,51.0,2022
0.0_52.0_US Open,0.0,New York,US Open,Outdoor,Hard,Alcaraz C.,4.0,7.0,1.45,1.48,1.53,1.46,52.0,2022
0.0_53.0_Open de Moselle,0.0,Metz,Open de Moselle,Indoor,Hard,Sonego L.,65.0,44.0,1.9,2.0,2.0,1.88,53.0,2022
0.0_54.0_San Diego Open,0.0,San Diego,San Diego Open,Outdoor,Hard,Nakashima B.,69.0,58.0,1.4,1.47,1.5,1.44,54.0,2022
0.0_55.0_Korea Open,0.0,Seoul,Korea Open,Outdoor,Hard,Nishioka Y.,56.0,24.0,2.5,2.47,2.52,2.37,55.0,2022
0.0_56.0_Sofia Open,0.0,Sofia,Sofia Open,Indoor,Hard,Huesler M.A.,95.0,31.0,2.62,2.68,2.81,2.55,56.0,2022
0.0_57.0_Tel Aviv Open,0.0,Tel Aviv,Tel Aviv Open,Indoor,Hard,Djokovic N.,7.0,16.0,1.25,1.2,1.27,1.22,57.0,2022
0.0_58.0_Astana Open,0.0,Nur-Sultan,Astana Open,Indoor,Hard,Djokovic N.,7.0,6.0,1.25,1.26,1.29,1.25,58.0,2022
0.0_59.0_Rakuten Japan Open Tennis Championships,0.0,Tokyo,Rakuten Japan Open Tennis Championships,Outdoor,Hard,Fritz T.,11.0,19.0,1.72,1.74,1.76,1.72,59.0,2022
0.0_60.0_Firenze Open,0.0,Florence,Firenze Open,Indoor,Hard,Auger-Aliassime F.,13.0,75.0,1.2,1.25,1.26,1.22,60.0,2022
0.0_61.0_Gijon Open,0.0,Gijon,Gijon Open,Indoor,Hard,Rublev A.,9.0,47.0,1.4,1.46,1.48,1.42,61.0,2022
0.0_62.0_European Open,0.0,Antwerp,European Open,Indoor,Hard,Auger-Aliassime F.,10.0,36.0,1.53,1.56,1.57,1.53,62.0,2022
0.0_63.0_Napoli Cup,0.0,Napoli,Napoli Cup,Outdoor,Hard,Musetti L.,24.0,16.0,1.9,1.79,2.0,1.88,63.0,2022
0.0_64.0_Stockholm Open,0.0,Stockholm,Stockholm Open,Indoor,Hard,Rune H.,27.0,5.0,3.2,3.35,3.38,3.1,64.0,2022
0.0_65.0_Swiss Indoors,0.0,Basel,Swiss Indoors,Indoor,Hard,Auger-Aliassime F.,9.0,25.0,1.33,1.34,1.4,1.33,65.0,2022
0.0_66.0_Vienna Open,0.0,Vienna,Vienna Open,Indoor,Hard,Medvedev D.,4.0,19.0,1.22,1.27,1.3,1.23,66.0,2022
0.0_67.0_BNP Paribas Masters,0.0,Paris,BNP Paribas Masters,Indoor,Hard,Rune H.,18.0,7.0,4.0,4.3,4.5,4.06,67.0,2022
0.0_68.0_Masters Cup,0.0,Turin,Masters Cup,Indoor,Hard,Djokovic N.,8.0,4.0,1.22,1.22,1.29,1.23,68.0,2022
0.0_1.0_Adelaide International 1,0.0,Adelaide,Adelaide International 1,Outdoor,Hard,Djokovic N.,5.0,33.0,1.14,1.16,1.18,1.15,1.0,2023
0.0_2.0_Maharashtra Open,0.0,Pune,Maharashtra Open,Outdoor,Hard,Griekspoor T.,95.0,60.0,2.3,2.31,2.38,2.24,2.0,2023
0.0_3.0_Adelaide International 2,0.0,Adelaide,Adelaide International 2,Outdoor,Hard,Kwon S.W.,84.0,26.0,2.75,2.49,3.0,2.58,3.0,2023
0.0_4.0_ASB Classic,0.0,Auckland,ASB Classic,Outdoor,Hard,Gasquet R.,67.0,12.0,3.75,4.18,4.18,3.83,4.0,2023
0.0_5.0_Australian Open,0.0,Melbourne,Australian Open,Outdoor,Hard,Djokovic N.,5.0,4.0,1.2,1.22,1.23,1.2,5.0,2023
0.0_6.0_Cordoba Open,0.0,Cordoba,Cordoba Open,Outdoor,Clay,Baez S.,47.0,67.0,1.53,1.67,1.67,1.59,6.0,2023
0.0_7.0_Dallas Open,0.0,Dallas,Dallas Open,Indoor,Hard,Wu Y.,97.0,39.0,1.8,1.87,1.92,1.83,7.0,2023
0.0_8.0_Open Sud de France,0.0,Montpellier,Open Sud de France,Indoor,Hard,Sinner J.,17.0,51.0,1.3,1.33,1.35,1.3,8.0,2023
0.0_9.0_Argentina Open,0.0,Buenos Aires,Argentina Open,Outdoor,Clay,Alcaraz C.,2.0,12.0,1.17,1.21,1.21,1.17,9.0,2023
0.0_10.0_Delray Beach Open,0.0,Delray Beach,Delray Beach Open,Outdoor,Hard,Fritz T.,7.0,33.0,1.29,1.31,1.32,1.29,10.0,2023
0.0_11.0_ABN AMRO World Tennis Tournament,0.0,Rotterdam,ABN AMRO World Tennis Tournament,Indoor,Hard,Medvedev D.,11.0,14.0,1.57,1.67,1.67,1.61,11.0,2023
0.0_12.0_Qatar Exxon Mobil Open,0.0,Doha,Qatar Exxon Mobil Open,Outdoor,Hard,Medvedev D.,8.0,70.0,1.14,1.14,1.17,1.13,12.0,2023
0.0_13.0_Open 13,0.0,Marseille,Open 13,Indoor,Hard,Hurkacz H.,11.0,60.0,1.5,1.5,1.54,1.48,13.0,2023
0.0_14.0_Rio Open,0.0,Rio de Janeiro,Rio Open,Outdoor,Clay,Norrie C.,13.0,2.0,4.33,4.81,4.9,4.47,14.0,2023
0.0_15.0_Abierto Mexicano,0.0,Acapulco,Abierto Mexicano,Outdoor,Hard,De Minaur A.,22.0,23.0,1.67,1.67,1.72,1.65,15.0,2023
0.0_16.0_Dubai Tennis Championships,0.0,Dubai ,Dubai Tennis Championships,Outdoor,Hard,Medvedev D.,7.0,6.0,1.22,1.25,1.25,1.23,16.0,2023
0.0_17.0_Chile Open,0.0,Santiago,Chile Open,Indoor,Clay,Jarry N.,87.0,76.0,1.91,1.97,2.1,1.93,17.0,2023
0.0_18.0_BNP Paribas Open,0.0,Indian Wells,BNP Paribas Open,Outdoor,Hard,Alcaraz C.,2.0,6.0,1.73,1.82,1.86,1.78,18.0,2023
0.0_19.0_Miami Open,0.0,Miami,Miami Open,Outdoor,Hard,Medvedev D.,5.0,11.0,1.91,1.93,1.99,1.87,19.0,2023
0.0_20.0_Estoril Open,0.0,Estoril,Estoril Open,Outdoor,Clay,Ruud C.,5.0,40.0,1.44,1.43,1.47,1.42,20.0,2023
0.0_21.0_U.S. Men's Clay Court Championships,0.0,Houston,U.S. Men's Clay Court Championships,Outdoor,Clay,Tiafoe F.,15.0,73.0,1.4,1.43,1.43,1.39,21.0,2023
0.0_22.0_Grand Prix Hassan II,0.0,Marrakech,Grand Prix Hassan II,Outdoor,Clay,Carballes Baena R.,82.0,126.0,1.73,1.78,1.81,1.74,22.0,2023
0.0_23.0_Monte Carlo Masters,0.0,Monte Carlo,Monte Carlo Masters,Outdoor,Clay,Rublev A.,6.0,9.0,2.5,2.55,2.63,2.46,23.0,2023
0.0_24.0_Barcelona Open,0.0,Barcelona,Barcelona Open,Outdoor,Clay,Alcaraz C.,2.0,5.0,1.25,1.22,1.31,1.24,24.0,2023
0.0_25.0_Srpska Open,0.0,Banja Luka,Srpska Open,Outdoor,Clay,Lajovic D.,70.0,6.0,4.0,4.19,4.25,3.87,25.0,2023
0.0_26.0_BMW Open,0.0,Munich,BMW Open,Outdoor,Clay,Rune H.,7.0,29.0,1.25,1.26,1.29,1.24,26.0,2023
0.0_27.0_Mutua Madrid Open,0.0,Madrid,Mutua Madrid Open,Outdoor,Clay,Alcaraz C.,2.0,65.0,1.06,1.08,1.09,1.06,27.0,2023
0.0_28.0_Internazionali BNL d'Italia,0.0,Rome,Internazionali BNL d'Italia,Outdoor,Clay,Medvedev D.,3.0,7.0,1.91,1.99,2.2,1.96,28.0,2023
0.0_29.0_Geneva Open,0.0,Geneva,Geneva Open,Outdoor,Clay,Jarry N.,54.0,862.0,1.73,1.78,1.8,1.74,29.0,2023
0.0_30.0_Lyon Open,0.0,Lyon,Lyon Open,Outdoor,Clay,Fils A.,112.0,559.0,3.75,3.78,3.78,3.48,30.0,2023
