index,WTA,Location,Tournament,Court,Surface,Winner,WRank,LRank,B365W,PSW,MaxW,AvgW,ATP,year
57.0_0.0_WTA Elite Trophy,57.0,Zhuhai,WTA Elite Trophy,Indoor,Hard,Sabalenka A.,14.0,10.0,1.5,1.55,1.56,1.5,0.0,2019
58.0_0.0_WTA Finals,58.0,Shenzhen,WTA Finals,Indoor,Hard,Barty A.,1.0,8.0,1.72,1.87,1.87,1.79,0.0,2019
1.0_0.0_ASB Classic,1.0,Auckland,ASB Classic,Outdoor,Hard,Williams S.,10.0,82.0,1.14,1.14,1.18,1.13,0.0,2020
2.0_0.0_Brisbane International,2.0,Brisbane,Brisbane International,Outdoor,Hard,Pliskova Ka.,2.0,13.0,1.8,1.87,1.92,1.8,0.0,2020
3.0_0.0_Shenzhen Open,3.0,Shenzhen,Shenzhen Open,Outdoor,Hard,Alexandrova E.,34.0,36.0,1.61,1.66,1.66,1.61,0.0,2020
5.0_0.0_Hobart International,5.0,Hobart,Hobart International,Outdoor,Hard,Rybakina E.,30.0,40.0,2.3,2.43,2.44,2.3,0.0,2020
6.0_0.0_Australian Open,6.0,Melbourne,Australian Open,Outdoor,Hard,Kenin S.,15.0,32.0,2.62,2.62,2.7,2.56,0.0,2020
7.0_0.0_Thailand Open,7.0,Hua Hin,Thailand Open,Outdoor,Hard,Linette M.,42.0,283.0,1.3,1.29,1.34,1.29,0.0,2020
8.0_0.0_Ladies Trophy,8.0,St. Petersburg,Ladies Trophy,Indoor,Hard,Bertens K.,8.0,25.0,1.57,1.6,1.61,1.56,0.0,2020
15.0_0.0_Top Seed Open,15.0,Lexington,Top Seed Open,Outdoor,Hard,Brady J.,49.0,63.0,1.36,1.36,1.4,1.34,0.0,2020
2.0_0.0_Melbourne Summer Set 1,2.0,Melbourne,Melbourne Summer Set 1,Outdoor,Hard,Halep S.,20.0,31.0,1.3,1.31,1.33,1.29,0.0,2022
3.0_0.0_Melbourne Summer Set 2,3.0,Melbourne,Melbourne Summer Set 2,Outdoor,Hard,Anisimova A.,78.0,107.0,1.4,1.41,1.45,1.39,0.0,2022
4.0_0.0_Adelaide International 1,4.0,Adelaide,Adelaide International 1,Outdoor,Hard,Keys M.,87.0,57.0,1.28,1.37,1.37,1.3,0.0,2022
5.0_0.0_Sydney Tennis Classic,5.0,Sydney,Sydney Tennis Classic,Outdoor,Hard,Badosa P.,9.0,4.0,1.53,1.64,1.69,1.6,0.0,2022
6.0_0.0_Australian Open,6.0,Melbourne,Australian Open,Outdoor,Hard,Barty A.,1.0,30.0,1.2,1.22,1.26,1.21,0.0,2022
7.0_0.0_Ladies Trophy,7.0,St. Petersburg,Ladies Trophy,Indoor,Hard,Kontaveit A.,9.0,7.0,1.5,1.52,1.57,1.5,0.0,2022
33.0_0.0_European Open,33.0,Hamburg,European Open,Outdoor,Clay,Pera B.,81.0,2.0,2.37,2.61,2.61,2.4,0.0,2022
34.0_0.0_Internazionali Femminili di Palermo,34.0,Palermo,Internazionali Femminili di Palermo,Outdoor,Clay,Begu I.,45.0,78.0,1.44,1.51,1.53,1.48,0.0,2022
35.0_0.0_Prague Open,35.0,Prague,Prague Open,Outdoor,Hard,Bouzkova M.,66.0,59.0,1.9,1.93,1.95,1.89,0.0,2022
36.0_0.0_Poland Open,36.0,Warsaw,Poland Open,Outdoor,Clay,Garcia C.,45.0,108.0,1.4,1.48,1.48,1.39,0.0,2022
38.0_0.0_Citi Open,38.0,Washington,Citi Open,Outdoor,Hard,Samsonova L.,60.0,37.0,1.72,1.72,1.8,1.71,0.0,2022
41.0_0.0_Tennis in the Land,41.0,Cleveland,Tennis in the Land,Outdoor,Hard,Samsonova L.,45.0,36.0,1.44,1.5,1.51,1.45,0.0,2022
2.0_0.0_ASB Classic,2.0,Auckland,ASB Classic,Outdoor,Hard,Gauff C.,7.0,130.0,1.17,1.2,1.2,1.18,0.0,2023
6.0_0.0_Thailand Open,6.0,Hua Hin,Thailand Open,Outdoor,Hard,Zhu L.,54.0,136.0,1.8,1.88,1.9,1.81,0.0,2023
7.0_0.0_Lyon Open,7.0,Lyon,Lyon Open,Indoor,Hard,Parks A.,79.0,5.0,4.33,4.38,4.4,4.09,0.0,2023
8.0_0.0_Abu Dhabi WTA Women's Tennis Open,8.0,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,Outdoor,Hard,Bencic B.,9.0,19.0,1.62,1.68,1.68,1.62,0.0,2023
10.0_0.0_Qatar Open,10.0,Doha,Qatar Open,Outdoor,Hard,Swiatek I.,1.0,4.0,1.22,1.25,1.25,1.22,0.0,2023
11.0_0.0_Dubai Duty Free Tennis Championships,11.0,Dubai,Dubai Duty Free Tennis Championships,Outdoor,Hard,Krejcikova B.,30.0,1.0,7.0,6.79,7.1,6.26,0.0,2023
12.0_0.0_Merida Open,12.0,Merida,Merida Open,Outdoor,Hard,Giorgi C.,68.0,140.0,1.44,1.47,1.47,1.43,0.0,2023
18.0_0.0_Charleston Open,18.0,Charleston,Charleston Open,Outdoor,Clay,Jabeur O.,5.0,11.0,2.0,2.14,2.16,2.06,0.0,2023
0.0_1.0_Brisbane International,0.0,Brisbane,Brisbane International,Outdoor,Hard,Nishikori K.,9.0,16.0,1.57,1.66,1.67,1.6,1.0,2019
0.0_2.0_Qatar Exxon Mobil Open,0.0,Doha,Qatar Exxon Mobil Open,Outdoor,Hard,Bautista Agut R.,24.0,71.0,1.57,1.6,1.65,1.6,2.0,2019
0.0_3.0_Maharashtra Open,0.0,Pune,Maharashtra Open,Outdoor,Hard,Anderson K.,6.0,100.0,1.28,1.3,1.3,1.27,3.0,2019
0.0_4.0_ASB Classic,0.0,Auckland,ASB Classic,Outdoor,Hard,Sandgren T.,63.0,93.0,2.2,2.3,2.35,2.18,4.0,2019
0.0_5.0_Sydney International,0.0,Sydney,Sydney International,Outdoor,Hard,De Minaur A.,29.0,37.0,1.33,1.39,1.4,1.36,5.0,2019
0.0_6.0_Australian Open,0.0,Melbourne,Australian Open,Outdoor,Hard,Djokovic N.,1.0,2.0,1.74,1.77,1.84,1.75,6.0,2019
0.0_7.0_Cordoba Open,0.0,Cordoba,Cordoba Open,Outdoor,Clay,Londero J.I.,112.0,59.0,2.75,3.08,3.2,2.96,7.0,2019
0.0_8.0_Open Sud de France,0.0,Montpellier,Open Sud de France,Indoor,Hard,Tsonga J.W.,210.0,44.0,1.61,1.55,1.66,1.57,8.0,2019
0.0_9.0_Sofia Open,0.0,Sofia,Sofia Open,Indoor,Hard,Medvedev D.,16.0,47.0,1.14,1.17,1.18,1.16,9.0,2019
0.0_10.0_Argentina Open,0.0,Buenos Aires,Argentina Open,Outdoor,Clay,Cecchinato M.,18.0,19.0,2.2,2.33,2.37,2.27,10.0,2019
0.0_11.0_New York Open,0.0,New York,New York Open,Indoor,Hard,Opelka R.,89.0,154.0,1.5,1.47,1.5,1.46,11.0,2019
0.0_12.0_ABN AMRO World Tennis Tournament,0.0,Rotterdam,ABN AMRO World Tennis Tournament,Indoor,Hard,Monfils G.,33.0,68.0,2.5,2.45,2.5,2.39,12.0,2019
0.0_13.0_Delray Beach Open,0.0,Delray Beach,Delray Beach Open,Outdoor,Hard,Albot R.,82.0,148.0,2.75,2.76,3.0,2.78,13.0,2019
0.0_14.0_Open 13,0.0,Marseille,Open 13,Indoor,Hard,Tsitsipas S.,12.0,50.0,1.3,1.34,1.34,1.3,14.0,2019
0.0_15.0_Rio Open,0.0,Rio de Janeiro,Rio Open,Outdoor,Clay,Djere L.,90.0,104.0,2.2,2.23,2.25,2.14,15.0,2019
0.0_16.0_Abierto Mexicano,0.0,Acapulco,Abierto Mexicano,Outdoor,Hard,Kyrgios N.,72.0,3.0,2.75,3.0,3.1,2.84,16.0,2019
0.0_17.0_Dubai Tennis Championships,0.0,Dubai ,Dubai Tennis Championships,Outdoor,Hard,Federer R.,7.0,11.0,1.28,1.36,1.36,1.32,17.0,2019
0.0_18.0_Brasil Open,0.0,Sao Paulo,Brasil Open,Indoor,Clay,Pella G.,48.0,92.0,1.5,1.63,1.63,1.5,18.0,2019
0.0_19.0_BNP Paribas Open,0.0,Indian Wells,BNP Paribas Open,Outdoor,Hard,Thiem D.,8.0,4.0,4.0,4.37,4.4,3.98,19.0,2019
0.0_20.0_Sony Ericsson Open,0.0,Miami,Sony Ericsson Open,Outdoor,Hard,Federer R.,5.0,9.0,1.22,1.3,1.3,1.25,20.0,2019
0.0_21.0_U.S. Men's Clay Court Championships,0.0,Houston,U.S. Men's Clay Court Championships,Outdoor,Clay,Garin C.,73.0,95.0,1.66,1.68,1.75,1.67,21.0,2019
0.0_22.0_Grand Prix Hassan II,0.0,Marrakech,Grand Prix Hassan II,Outdoor,Clay,Paire B.,69.0,70.0,2.1,2.27,2.27,2.16,22.0,2019
0.0_23.0_Monte Carlo Masters,0.0,Monte Carlo,Monte Carlo Masters,Outdoor,Clay,Fognini F.,18.0,48.0,1.57,1.68,1.68,1.59,23.0,2019
0.0_24.0_Open Banco Sabadell ,0.0,Barcelona,Open Banco Sabadell ,Outdoor,Clay,Thiem D.,5.0,14.0,1.28,1.32,1.4,1.29,24.0,2019
0.0_25.0_Hungarian Open,0.0,Budapest,Hungarian Open,Outdoor,Clay,Berrettini M.,55.0,105.0,2.2,2.28,2.3,2.18,25.0,2019
0.0_26.0_Millennium Estoril Open,0.0,Estoril,Millennium Estoril Open,Outdoor,Clay,Tsitsipas S.,10.0,67.0,1.36,1.39,1.41,1.37,26.0,2019
0.0_27.0_BMW Open,0.0,Munich,BMW Open,Outdoor,Clay,Garin C.,47.0,37.0,1.9,1.88,1.95,1.86,27.0,2019
0.0_28.0_Mutua Madrid Open,0.0,Madrid,Mutua Madrid Open,Outdoor,Clay,Djokovic N.,1.0,9.0,1.4,1.51,1.51,1.43,28.0,2019
0.0_29.0_Internazionali BNL d'Italia,0.0,Rome,Internazionali BNL d'Italia,Outdoor,Clay,Nadal R.,2.0,1.0,1.44,1.57,1.57,1.5,29.0,2019
0.0_30.0_Geneva Open,0.0,Geneva,Geneva Open,Outdoor,Clay,Zverev A.,5.0,75.0,1.44,1.49,1.5,1.45,30.0,2019
0.0_31.0_Lyon Open,0.0,Lyon,Lyon Open,Outdoor,Clay,Paire B.,51.0,28.0,2.0,2.1,2.1,1.98,31.0,2019
0.0_32.0_French Open,0.0,Paris,French Open,Outdoor,Clay,Nadal R.,2.0,4.0,1.2,1.22,1.3,1.21,32.0,2019
0.0_33.0_Rosmalen Grass Court Championships,0.0,'s-Hertogenbosch,Rosmalen Grass Court Championships,Outdoor,Grass,Mannarino A.,44.0,62.0,1.72,1.81,1.81,1.75,33.0,2019
0.0_34.0_Mercedes Cup,0.0,Stuttgart,Mercedes Cup,Outdoor,Grass,Berrettini M.,30.0,21.0,1.44,1.5,1.5,1.45,34.0,2019
0.0_35.0_Halle Open,0.0,Halle,Halle Open,Outdoor,Grass,Federer R.,3.0,33.0,1.14,1.15,1.18,1.15,35.0,2019
0.0_36.0_Queen's Club Championships,0.0,Queens Club,Queen's Club Championships,Outdoor,Grass,Lopez F.,113.0,38.0,1.53,1.63,1.63,1.56,36.0,2019
0.0_37.0_Antalya Open,0.0,Antalya,Antalya Open,Outdoor,Grass,Sonego L.,75.0,82.0,1.8,1.83,1.91,1.8,37.0,2019
0.0_38.0_Eastbourne International,0.0,Eastbourne,Eastbourne International,Outdoor,Grass,Fritz T.,42.0,79.0,2.37,2.41,2.45,2.32,38.0,2019
0.0_39.0_Wimbledon,0.0,London,Wimbledon,Outdoor,Grass,Djokovic N.,1.0,3.0,1.55,1.55,1.6,1.54,39.0,2019
0.0_40.0_SkiStar Swedish Open,0.0,Bastad,SkiStar Swedish Open,Outdoor,Clay,Jarry N.,64.0,71.0,1.61,1.72,1.72,1.64,40.0,2019
0.0_41.0_Hall of Fame Championships,0.0,Newport,Hall of Fame Championships,Outdoor,Grass,Isner J.,15.0,83.0,1.33,1.31,1.35,1.3,41.0,2019
0.0_42.0_Croatia Open,0.0,Umag,Croatia Open,Outdoor,Clay,Lajovic D.,36.0,208.0,1.5,1.53,1.56,1.5,42.0,2019
0.0_43.0_BB&T Atlanta Open,0.0,Atlanta,BB&T Atlanta Open,Outdoor,Hard,De Minaur A.,34.0,32.0,1.72,1.87,1.87,1.79,43.0,2019
0.0_44.0_Suisse Open Gstaad,0.0,Gstaad,Suisse Open Gstaad,Outdoor,Clay,Ramos-Vinolas A.,85.0,455.0,1.25,1.27,1.29,1.25,44.0,2019
0.0_45.0_German Tennis Championships,0.0,Hamburg,German Tennis Championships,Outdoor,Clay,Basilashvili N.,16.0,78.0,2.1,2.12,2.15,2.08,45.0,2019
0.0_46.0_Generali Open,0.0,Kitzbuhel,Generali Open,Outdoor,Clay,Thiem D.,4.0,69.0,1.25,1.25,1.3,1.23,46.0,2019
0.0_47.0_Abierto Mexicano Mifel,0.0,Los Cabos,Abierto Mexicano Mifel,Outdoor,Hard,Schwartzman D.,27.0,28.0,2.1,2.18,2.2,2.11,47.0,2019
0.0_48.0_Citi Open,0.0,Washington,Citi Open,Outdoor,Hard,Kyrgios N.,52.0,10.0,2.1,2.27,2.3,2.13,48.0,2019
0.0_49.0_Rogers Masters,0.0,Montreal,Rogers Masters,Outdoor,Hard,Nadal R.,2.0,9.0,1.4,1.41,1.44,1.4,49.0,2019
0.0_50.0_Western & Southern Financial Group Masters,0.0,Cincinnati,Western & Southern Financial Group Masters,Outdoor,Hard,Medvedev D.,8.0,19.0,1.4,1.43,1.43,1.4,50.0,2019
0.0_51.0_Winston-Salem Open at Wake Forest University,0.0,Winston-Salem,Winston-Salem Open at Wake Forest University,Outdoor,Hard,Hurkacz H.,41.0,30.0,1.5,1.54,1.56,1.51,51.0,2019
0.0_52.0_US Open,0.0,New York,US Open,Outdoor,Hard,Nadal R.,2.0,5.0,1.16,1.19,1.25,1.19,52.0,2019
0.0_53.0_Open de Moselle,0.0,Metz,Open de Moselle,Indoor,Hard,Tsonga J.W.,61.0,76.0,1.4,1.41,1.42,1.38,53.0,2019
0.0_54.0_St. Petersburg Open,0.0,St. Petersburg,St. Petersburg Open,Indoor,Hard,Medvedev D.,4.0,15.0,1.22,1.21,1.24,1.2,54.0,2019
0.0_55.0_Chengdu Open,0.0,Chengdu,Chengdu Open,Outdoor,Hard,Carreno Busta P.,63.0,71.0,1.4,1.41,1.47,1.4,55.0,2019
0.0_56.0_Zhuhai Open,0.0,Zhuhai,Zhuhai Open,Outdoor,Hard,De Minaur A.,31.0,61.0,1.3,1.34,1.34,1.28,56.0,2019
0.0_57.0_China Open,0.0,Beijing,China Open,Outdoor,Hard,Thiem D.,5.0,7.0,1.9,1.83,1.95,1.85,57.0,2019
0.0_58.0_Rakuten Japan Open Tennis Championships,0.0,Tokyo,Rakuten Japan Open Tennis Championships,Outdoor,Hard,Djokovic N.,1.0,80.0,1.05,1.05,1.06,1.04,58.0,2019
0.0_59.0_Shanghai Masters,0.0,Shanghai,Shanghai Masters,Outdoor,Hard,Medvedev D.,4.0,6.0,1.53,1.58,1.59,1.54,59.0,2019
0.0_60.0_European Open,0.0,Antwerp,European Open,Indoor,Hard,Murray A.,243.0,18.0,2.5,2.65,2.75,2.52,60.0,2019
0.0_61.0_Kremlin Cup,0.0,Moscow,Kremlin Cup,Indoor,Hard,Rublev A.,31.0,44.0,1.5,1.5,1.54,1.43,61.0,2019
0.0_62.0_Stockholm Open,0.0,Stockholm,Stockholm Open,Indoor,Hard,Shapovalov D.,34.0,60.0,1.53,1.58,1.59,1.53,62.0,2019
0.0_63.0_Swiss Indoors,0.0,Basel,Swiss Indoors,Indoor,Hard,Federer R.,3.0,28.0,1.1,1.13,1.13,1.1,63.0,2019
0.0_64.0_Erste Bank Open,0.0,Vienna,Erste Bank Open,Indoor,Hard,Thiem D.,5.0,15.0,1.28,1.32,1.33,1.29,64.0,2019
0.0_65.0_BNP Paribas Masters,0.0,Paris,BNP Paribas Masters,Indoor,Hard,Djokovic N.,1.0,28.0,1.12,1.16,1.16,1.13,65.0,2019
0.0_66.0_Masters Cup,0.0,London,Masters Cup,Indoor,Hard,Tsitsipas S. ,6.0,5.0,2.0,2.0,2.05,1.96,66.0,2019
0.0_1.0_Qatar Exxon Mobil Open,0.0,Doha,Qatar Exxon Mobil Open,Outdoor,Hard,Rublev A.,23.0,81.0,1.22,1.25,1.27,1.22,1.0,2020
0.0_2.0_ASB Classic,0.0,Auckland,ASB Classic,Outdoor,Hard,Rublev A.,18.0,91.0,1.33,1.32,1.36,1.3,2.0,2020
0.0_3.0_Adelaide International,0.0,Adelaide,Adelaide International,Outdoor,Hard,Humbert U.,57.0,24.0,1.72,1.71,1.94,1.72,3.0,2020
0.0_4.0_Australian Open,0.0,Melbourne,Australian Open,Outdoor,Hard,Djokovic N.,2.0,5.0,1.25,1.27,1.33,1.27,4.0,2020
0.0_5.0_Cordoba Open,0.0,Cordoba,Cordoba Open,Outdoor,Clay,Garin C.,31.0,14.0,3.0,3.28,3.28,3.02,5.0,2020
0.0_7.0_Open Sud de France,0.0,Montpellier,Open Sud de France,Indoor,Hard,Monfils G.,9.0,132.0,1.44,1.49,1.54,1.45,7.0,2020
0.0_7.0_Maharashtra Open,0.0,Pune,Maharashtra Open,Outdoor,Hard,Vesely J.,107.0,90.0,2.37,2.51,2.55,2.37,7.0,2020
0.0_8.0_Argentina Open,0.0,Buenos Aires,Argentina Open,Outdoor,Clay,Ruud C.,45.0,145.0,1.14,1.15,1.2,1.14,8.0,2020
0.0_9.0_New York Open,0.0,New York,New York Open,Indoor,Hard,Edmund K.,62.0,98.0,1.36,1.41,1.43,1.36,9.0,2020
0.0_10.0_ABN AMRO World Tennis Tournament,0.0,Rotterdam,ABN AMRO World Tennis Tournament,Indoor,Hard,Monfils G.,9.0,21.0,1.57,1.62,1.64,1.56,10.0,2020
0.0_11.0_Delray Beach Open,0.0,Delray Beach,Delray Beach Open,Outdoor,Hard,Opelka R.,54.0,63.0,1.5,1.58,1.59,1.53,11.0,2020
0.0_12.0_Open 13,0.0,Marseille,Open 13,Indoor,Hard,Tsitsipas S.,6.0,18.0,1.44,1.41,1.49,1.41,12.0,2020
0.0_13.0_Rio Open,0.0,Rio de Janeiro,Rio Open,Outdoor,Clay,Garin C.,25.0,128.0,1.25,1.3,1.3,1.26,13.0,2020
0.0_14.0_Abierto Mexicano,0.0,Acapulco,Abierto Mexicano,Outdoor,Hard,Nadal R.,2.0,35.0,1.06,1.07,1.1,1.06,14.0,2020
0.0_15.0_Dubai Tennis Championships,0.0,Dubai ,Dubai Tennis Championships,Outdoor,Hard,Djokovic N.,1.0,6.0,1.3,1.36,1.38,1.33,15.0,2020
0.0_16.0_Chile Open,0.0,Santiago,Chile Open,Indoor,Clay,Seyboth Wild T.,182.0,38.0,3.4,3.37,3.78,3.36,16.0,2020
0.0_17.0_Western & Southern Financial Group Masters,0.0,New York,Western & Southern Financial Group Masters,Outdoor,Hard,Djokovic N.,1.0,30.0,1.36,1.37,1.39,1.33,17.0,2020
0.0_18.0_Generali Open,0.0,Kitzbuhel,Generali Open,Outdoor,Clay,Kecmanovic M.,47.0,118.0,1.75,1.87,1.91,1.83,18.0,2020
0.0_19.0_US Open,0.0,New York,US Open,Outdoor,Hard,Thiem D.,3.0,7.0,1.25,1.3,1.31,1.27,19.0,2020
0.0_20.0_Internazionali BNL d'Italia,0.0,Rome,Internazionali BNL d'Italia,Outdoor,Clay,Djokovic N.,1.0,15.0,1.16,1.16,1.19,1.16,20.0,2020
0.0_21.0_German Tennis Championships,0.0,Hamburg,German Tennis Championships,Outdoor,Clay,Rublev A.,14.0,6.0,1.7,1.84,1.9,1.77,21.0,2020
0.0_22.0_French Open,0.0,Paris,French Open,Outdoor,Clay,Nadal R.,2.0,1.0,1.72,1.71,1.73,1.68,22.0,2020
0.0_23.0_bett1HULKS Indoors,0.0,Cologne,bett1HULKS Indoors,Indoor,Hard,Zverev A.,7.0,22.0,1.36,1.44,1.47,1.39,23.0,2020
0.0_24.0_Forte Village Sardegna Open,0.0,Sardinia,Forte Village Sardegna Open,Outdoor,Clay,Djere L.,74.0,103.0,2.5,2.64,2.78,2.53,24.0,2020
0.0_25.0_St. Petersburg Open,0.0,St. Petersburg,St. Petersburg Open,Indoor,Hard,Rublev A.,10.0,27.0,1.22,1.29,1.3,1.25,25.0,2020
0.0_26.0_European Open,0.0,Antwerp,European Open,Indoor,Hard,Humbert U.,38.0,29.0,2.5,2.8,2.8,2.58,26.0,2020
0.0_27.0_bett1HULKS Championship,0.0,Cologne,bett1HULKS Championship,Indoor,Hard,Zverev A.,7.0,9.0,1.44,1.56,1.57,1.51,27.0,2020
0.0_28.0_Astana Open,0.0,Nur-Sultan,Astana Open,Indoor,Hard,Millman J.,45.0,39.0,2.2,2.38,2.54,2.26,28.0,2020
0.0_29.0_Erste Bank Open,0.0,Vienna,Erste Bank Open,Indoor,Hard,Rublev A.,8.0,42.0,1.14,1.13,1.18,1.14,29.0,2020
0.0_30.0_BNP Paribas Masters,0.0,Paris,BNP Paribas Masters,Indoor,Hard,Medvedev D.,5.0,7.0,1.9,2.01,2.05,1.91,30.0,2020
0.0_31.0_Sofia Open,0.0,Sofia,Sofia Open,Indoor,Hard,Sinner J.,44.0,74.0,1.4,1.45,1.48,1.43,31.0,2020
0.0_32.0_Masters Cup,0.0,London,Masters Cup,Indoor,Hard,Medvedev D.,4.0,3.0,1.66,1.66,1.85,1.66,32.0,2020
0.0_1.0_Antalya Open,0.0,Antalya,Antalya Open,Indoor,Hard,De Minaur A.,23.0,49.0,1.2,1.22,1.23,1.21,1.0,2021
0.0_2.0_Delray Beach Open,0.0,Delray Beach,Delray Beach Open,Outdoor,Hard,Hurkacz H.,35.0,119.0,1.8,1.83,1.92,1.81,2.0,2021
0.0_3.0_Great Ocean Road Open,0.0,Melbourne,Great Ocean Road Open,Outdoor,Hard,Sinner J.,36.0,71.0,1.25,1.22,1.27,1.23,3.0,2021
0.0_4.0_Murray River Open,0.0,Melbourne,Murray River Open,Outdoor,Hard,Evans D.,33.0,21.0,2.2,2.35,2.4,2.25,4.0,2021
0.0_5.0_Australian Open,0.0,Melbourne,Australian Open,Outdoor,Hard,Djokovic N.,1.0,4.0,1.83,1.83,1.97,1.84,5.0,2021
0.0_6.0_Cordoba Open,0.0,Cordoba,Cordoba Open,Outdoor,Clay,Cerundolo J.M.,335.0,47.0,2.62,2.64,2.88,2.6,6.0,2021
0.0_7.0_Open Sud de France,0.0,Montpellier,Open Sud de France,Indoor,Hard,Goffin D.,15.0,13.0,3.0,2.95,3.15,2.9,7.0,2021
0.0_8.0_Singapore Open,0.0,Singapore,Singapore Open,Indoor,Hard,Popyrin A.,114.0,46.0,2.3,2.37,2.45,2.31,8.0,2021
0.0_9.0_Argentina Open,0.0,Buenos Aires,Argentina Open,Outdoor,Clay,Schwartzman D.,9.0,137.0,1.2,1.18,1.21,1.16,9.0,2021
0.0_10.0_ABN AMRO World Tennis Tournament,0.0,Rotterdam,ABN AMRO World Tennis Tournament,Indoor,Hard,Rublev A.,8.0,59.0,1.25,1.29,1.31,1.27,10.0,2021
0.0_11.0_Qatar Exxon Mobil Open,0.0,Doha,Qatar Exxon Mobil Open,Outdoor,Hard,Basilashvili N.,42.0,13.0,4.0,4.64,4.64,4.06,11.0,2021
0.0_12.0_Open 13,0.0,Marseille,Open 13,Indoor,Hard,Medvedev D.,3.0,93.0,1.2,1.19,1.22,1.18,12.0,2021
0.0_13.0_Chile Open,0.0,Santiago,Chile Open,Indoor,Clay,Garin C.,22.0,118.0,1.5,1.55,1.55,1.49,13.0,2021
0.0_14.0_Abierto Mexicano,0.0,Acapulco,Abierto Mexicano,Outdoor,Hard,Zverev A.,7.0,5.0,2.75,2.52,2.78,2.57,14.0,2021
0.0_15.0_Dubai Tennis Championships,0.0,Dubai ,Dubai Tennis Championships,Outdoor,Hard,Karatsev A.,42.0,81.0,1.5,1.54,1.57,1.51,15.0,2021
0.0_16.0_Miami Open,0.0,Miami,Miami Open,Outdoor,Hard,Hurkacz H.,37.0,31.0,2.37,2.36,2.55,2.38,16.0,2021
0.0_17.0_Sardegna Open,0.0,Cagliari,Sardegna Open,Outdoor,Hard,Sonego L.,34.0,57.0,2.2,2.37,2.45,2.28,17.0,2021
0.0_18.0_AnyTech365 Andalucia Open,0.0,Marbella,AnyTech365 Andalucia Open,Outdoor,Hard,Carreno Busta P.,15.0,95.0,1.57,1.67,1.71,1.58,18.0,2021
0.0_19.0_Monte Carlo Masters,0.0,Monte Carlo,Monte Carlo Masters,Outdoor,Clay,Tsitsipas S.,5.0,8.0,2.0,2.0,2.22,2.0,19.0,2021
0.0_20.0_Barcelona Open,0.0,Barcelona,Barcelona Open,Outdoor,Clay,Nadal R.,3.0,5.0,1.57,1.54,1.63,1.53,20.0,2021
0.0_21.0_Serbia Open,0.0,Belgrade,Serbia Open,Outdoor,Clay,Berrettini M.,10.0,28.0,2.0,1.95,2.09,1.94,21.0,2021
0.0_22.0_Millennium Estoril Open,0.0,Estoril,Millennium Estoril Open,Outdoor,Clay,Ramos-Vinolas A.,46.0,50.0,1.57,1.57,1.64,1.57,22.0,2021
0.0_23.0_BMW Open,0.0,Munich,BMW Open,Outdoor,Clay,Basilashvili N.,35.0,44.0,1.72,1.79,1.82,1.68,23.0,2021
0.0_24.0_Mutua Madrid Open,0.0,Madrid,Mutua Madrid Open,Outdoor,Clay,Zverev A.,6.0,10.0,1.61,1.68,1.69,1.62,24.0,2021
0.0_25.0_Internazionali BNL d'Italia,0.0,Rome,Internazionali BNL d'Italia,Outdoor,Clay,Nadal R.,3.0,1.0,1.5,1.58,1.58,1.51,25.0,2021
0.0_26.0_Geneva Open,0.0,Geneva,Geneva Open,Outdoor,Clay,Ruud C.,21.0,15.0,1.61,1.69,1.71,1.65,26.0,2021
0.0_27.0_Lyon Open,0.0,Lyon,Lyon Open,Outdoor,Clay,Tsitsipas S.,5.0,49.0,1.16,1.16,1.25,1.16,27.0,2021
0.0_28.0_Belgrade Open,0.0,Belgrade,Belgrade Open,Outdoor,Clay,Djokovic N.,1.0,255.0,1.02,1.04,1.05,1.02,28.0,2021
0.0_29.0_Emilia-Romagna Open,0.0,Parma,Emilia-Romagna Open,Outdoor,Clay,Korda S.,63.0,104.0,1.61,1.62,1.67,1.59,29.0,2021
0.0_30.0_French Open,0.0,Paris,French Open,Outdoor,Clay,Djokovic N.,1.0,5.0,1.4,1.45,1.45,1.38,30.0,2021
0.0_31.0_Mercedes Cup,0.0,Stuttgart,Mercedes Cup,Outdoor,Grass,Cilic M.,47.0,21.0,1.8,1.81,1.83,1.77,31.0,2021
0.0_32.0_Halle Open,0.0,Halle,Halle Open,Outdoor,Grass,Humbert U.,31.0,7.0,3.0,3.09,3.15,2.92,32.0,2021
0.0_33.0_Queen's Club Championships,0.0,Queens Club,Queen's Club Championships,Outdoor,Grass,Berrettini M.,9.0,41.0,1.28,1.3,1.34,1.28,33.0,2021
0.0_34.0_Viking International,0.0,Eastbourne,Viking International,Outdoor,Grass,De Minaur A.,18.0,27.0,1.44,1.43,1.52,1.42,34.0,2021
0.0_35.0_Mallorca Championships,0.0,Mallorca,Mallorca Championships,Outdoor,Grass,Medvedev D.,2.0,60.0,1.28,1.26,1.29,1.25,35.0,2021
0.0_36.0_Wimbledon,0.0,London,Wimbledon,Outdoor,Grass,Djokovic N.,1.0,9.0,1.22,1.23,1.27,1.21,36.0,2021
0.0_37.0_Nordea Open,0.0,Bastad,Nordea Open,Outdoor,Clay,Ruud C.,16.0,77.0,1.14,1.2,1.22,1.17,37.0,2021
0.0_38.0_European Open,0.0,Hamburg,European Open,Outdoor,Clay,Carreno Busta P.,13.0,44.0,1.66,1.74,1.78,1.68,38.0,2021
