id,name,city,country,surface,code,start_date,end_date,season,country_code
1339,Barcelona Open Banc Sabadell,Barcelona,Spain,Outdoor Clay,ATP,2021-04-19,2021-04-25,2021,ESP
1340,Serbia Open,Belgrade,Serbia,Outdoor Clay,ATP,2021-04-19,2021-04-25,2021,SRB
1341,BMW Open,Munich,Germany,Outdoor Clay,ATP,2021-04-26,2021-05-02,2021,DEU
1342,Millennium Estoril Open,Estoril,Portugal,Outdoor Clay,ATP,2021-04-26,2021-05-02,2021,PRT
1343,Mutua Madrid Open,Madrid,Spain,Outdoor Clay,ATP,2021-05-02,2021-05-09,2021,ESP
1344,Internazionali BNL d'Italia,Rome,Italy,Outdoor Clay,ATP,2021-05-09,2021-05-16,2021,ITA
1345,Gonet Geneva Open,Geneva,Switzerland,Outdoor Clay,ATP,2021-05-16,2021-05-22,2021,CHE
1346,Open Parc Auvergne-Rhone-Alpes Lyon,Lyon,France,Outdoor Clay,ATP,2021-05-17,2021-05-23,2021,FRA
1411,Belgrade Open,Belgrade,Serbia,Outdoor Clay,ATP,2021-05-23,2021-05-29,2021,SRB
1410,Emilia-Romagna Open,Parma,Italy,Outdoor Clay,ATP,2021-05-23,2021-05-29,2021,ITA
1347,Roland Garros,Paris,France,Outdoor Clay,ATP,2021-05-30,2021-06-13,2021,FRA
1348,Libema Open (Cancelled),'s-Hertogenbosch,Netherlands,Outdoor Grass,ATP,2021-06-07,2021-06-13,2021,NLD
1349,MercedesCup,Stuttgart,Germany,Outdoor Grass,ATP,2021-06-08,2021-06-13,2021,DEU
1351,NOVENTI OPEN,Halle,Germany,Outdoor Grass,ATP,2021-06-14,2021-06-20,2021,DEU
1350,cinch Championships,London,Great Britain,Outdoor Grass,ATP,2021-06-14,2021-06-20,2021,False
1352,Mallorca Championships,Mallorca,Spain,Outdoor Grass,ATP,2021-06-20,2021-06-26,2021,ESP
1353,Viking International Eastbourne,Eastbourne,Great Britain,Outdoor Grass,ATP,2021-06-21,2021-06-26,2021,False
1354,Wimbledon,London,Great Britain,Outdoor Grass,ATP,2021-06-28,2021-07-11,2021,False
1355,Hall of Fame Open,Newport,USA,Outdoor Grass,ATP,2021-07-12,2021-07-18,2021,USA
1356,Hamburg European Open,Hamburg,Germany,Outdoor Clay,ATP,2021-07-12,2021-07-18,2021,DEU
1357,Nordea Open,Bastad,Sweden,Outdoor Clay,ATP,2021-07-12,2021-07-18,2021,SWE
1360,Swiss Open Gstaad,Gstaad,Switzerland,Outdoor Clay,ATP,2021-07-19,2021-07-25,2021,CHE
1358,Mifel Open,Los Cabos,Mexico,Outdoor Hard,ATP,2021-07-19,2021-07-25,2021,MEX
1359,Plava Laguna Croatia Open Umag,Umag,Croatia,Outdoor Clay,ATP,2021-07-19,2021-07-25,2021,HRV
1362,Generali Open,Kitzbuhel,Austria,Outdoor Clay,ATP,2021-07-26,2021-07-31,2021,AUT
1363,Truist Atlanta Open,Atlanta,USA,Outdoor Hard,ATP,2021-07-26,2021-08-01,2021,USA
1364,Citi Open,Washington,USA,Outdoor Hard,ATP,2021-08-02,2021-08-08,2021,USA
1365,National Bank Open Presented by Rogers,Toronto,Canada,Outdoor Hard,ATP,2021-08-09,2021-08-15,2021,CAN
1366,Western & Southern Open,Cincinnati,USA,Outdoor Hard,ATP,2021-08-15,2021-08-22,2021,USA
1367,Winston-Salem Open,Winston-Salem,USA,Outdoor Hard,ATP,2021-08-22,2021-08-28,2021,USA
1368,US Open,New York,USA,Outdoor Hard,ATP,2021-08-30,2021-09-12,2021,USA
1370,St. Petersburg Open,St. Petersburg,Russia,Indoor Hard,ATP,2021-09-20,2021-09-26,2021,False
1369,Moselle Open,Metz,France,Indoor Hard,ATP,2021-09-20,2021-09-26,2021,FRA
1374,Zhuhai Championships,Zhuhai,China,Outdoor Hard,ATP,2021-09-27,2021-10-03,2021,CHN
1373,Sofia Open,Sofia,Bulgaria,Indoor Hard,ATP,2021-09-27,2021-10-03,2021,BGR
1372,Chengdu Open,Chengdu,China,Outdoor Hard,ATP,2021-09-27,2021-10-03,2021,CHN
1375,China Open,Beijing,China,Outdoor Hard,ATP,2021-10-04,2021-10-10,2021,CHN
1376,Rakuten Japan Open Tennis Championships,Tokyo,Japan,Outdoor Hard,ATP,2021-10-04,2021-10-10,2021,JPN
1377,Rolex Shanghai Masters,Shanghai,China,Outdoor Hard,ATP,2021-10-10,2021-10-17,2021,CHN
1378,European Open,Antwerp,Belgium,Indoor Hard,ATP,2021-10-18,2021-10-24,2021,BEL
1380,VTB Kremlin Cup,Moscow,Russia,Indoor Hard,ATP,2021-10-18,2021-10-24,2021,False
1381,Erste Bank Open,Vienna,Austria,Indoor Hard,ATP,2021-10-25,2021-10-31,2021,AUT
1382,Swiss Indoors Basel,Basel,Switzerland,Indoor Hard,ATP,2021-10-25,2021-10-31,2021,CHE
1383,Rolex Paris Masters,Paris,France,Indoor Hard,ATP,2021-11-01,2021-11-07,2021,FRA
1379,Stockholm Open,Stockholm,Sweden,Indoor Hard,ATP,2021-11-07,2021-11-13,2021,SWE
1384,Next Gen ATP Finals,Milan,Italy,Indoor Hard,ATP,2021-11-09,2021-11-13,2021,ITA
1385,Nitto ATP Finals,Turin,Italy,Indoor Hard,ATP,2021-11-14,2021-11-21,2021,ITA
1433,Adelaide International 1,Adelaide,Australia,Outdoor Hard,ATP,2022-01-03,2022-01-09,2022,AUS
